Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/14, 14:00:00, 72.63, 72.64, 72.56, 72.56, 89, 66, 71, 18
2024/1/14, 14:00:02.350, 72.55, 72.61, 72.53, 72.61, 57, 50, 17, 40
2024/1/14, 14:00:15.778, 72.62, 72.63, 72.55, 72.55, 123, 71, 48, 75
2024/1/14, 14:00:51.113, 72.54, 72.56, 72.48, 72.48, 74, 58, 44, 30
2024/1/14, 14:01:06.758, 72.46, 72.46, 72.38, 72.38, 94, 57, 55, 39
2024/1/14, 14:01:21.174, 72.37, 72.43, 72.35, 72.35, 288, 223, 204, 84
2024/1/14, 14:02:25.144, 72.34, 72.35, 72.27, 72.27, 52, 38, 44, 8
2024/1/14, 14:02:27.163, 72.26, 72.30, 72.22, 72.22, 251, 202, 120, 131
2024/1/14, 14:02:46.770, 72.21, 72.23, 72.15, 72.15, 285, 114, 101, 184
2024/1/14, 14:03:01.275, 72.14, 72.16, 72.08, 72.08, 35, 28, 30, 5
2024/1/14, 14:03:02.251, 72.07, 72.13, 72.05, 72.13, 153, 100, 95, 58
2024/1/14, 14:03:32.499, 72.14, 72.16, 72.08, 72.16, 153, 135, 79, 74
2024/1/14, 14:04:35.707, 72.17, 72.25, 72.17, 72.25, 59, 57, 18, 41
2024/1/14, 14:05:26.771, 72.26, 72.32, 72.24, 72.32, 258, 190, 152, 106
2024/1/14, 14:11:14.741, 72.33, 72.40, 72.32, 72.40, 126, 122, 49, 77
2024/1/14, 14:15:03.530, 72.41, 72.48, 72.40, 72.40, 247, 227, 105, 142
2024/1/14, 14:21:17.966, 72.39, 72.45, 72.37, 72.37, 156, 127, 102, 54
2024/1/14, 14:30:29.453, 72.36, 72.36, 72.28, 72.28, 143, 122, 89, 54
2024/1/14, 14:35:51.629, 72.27, 72.31, 72.23, 72.31, 171, 147, 91, 80
2024/1/14, 14:41:21.918, 72.32, 72.35, 72.27, 72.35, 139, 100, 48, 91
2024/1/14, 14:45:32.577, 72.36, 72.42, 72.34, 72.42, 97, 81, 43, 54
2024/1/14, 14:46:24.484, 72.43, 72.49, 72.41, 72.49, 344, 219, 165, 179
2024/1/14, 14:52:20.574, 72.50, 72.57, 72.49, 72.49, 426, 349, 219, 207
2024/1/14, 15:07:55.727, 72.48, 72.53, 72.45, 72.53, 150, 116, 54, 96
2024/1/14, 15:13:45.334, 72.54, 72.56, 72.48, 72.48, 173, 161, 107, 66
2024/1/14, 15:19:55.288, 72.46, 72.54, 72.46, 72.54, 74, 69, 27, 47
2024/1/14, 15:23:35.443, 72.55, 72.60, 72.52, 72.52, 165, 151, 79, 86
2024/1/14, 15:31:58.632, 72.51, 72.58, 72.50, 72.58, 134, 127, 49, 85
2024/1/14, 15:39:22.916, 72.59, 72.63, 72.55, 72.55, 428, 356, 183, 245
2024/1/14, 16:00:02.336, 72.54, 72.58, 72.50, 72.50, 221, 173, 108, 113
2024/1/14, 16:01:01.800, 72.49, 72.55, 72.47, 72.55, 143, 132, 54, 89
2024/1/14, 16:02:37.845, 72.56, 72.62, 72.54, 72.62, 47, 47, 13, 34
2024/1/14, 16:03:32.786, 72.64, 72.70, 72.62, 72.70, 473, 383, 166, 307
