Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/15, 05:30:00, 4811.50, 4812.75, 4810.75, 4810.75, 2274, 1427, 1335, 939
2024/1/15, 05:32:09.175, 4810.50, 4812.00, 4810.00, 4812.00, 1495, 1071, 722, 773
2024/1/15, 05:35:21.009, 4812.25, 4812.25, 4810.25, 4810.25, 3649, 2724, 1796, 1853
2024/1/15, 05:48:07.409, 4810.00, 4811.25, 4809.25, 4809.25, 1465, 1124, 775, 690
2024/1/15, 05:52:07.929, 4809.00, 4811.00, 4809.00, 4811.00, 1429, 1034, 646, 783
2024/1/15, 05:57:05.106, 4811.25, 4812.00, 4810.00, 4812.00, 2652, 2016, 1298, 1354
2024/1/15, 06:05:38.958, 4812.25, 4812.50, 4810.50, 4812.50, 6085, 4308, 2803, 3282
2024/1/15, 06:31:13.078, 4812.75, 4813.50, 4811.50, 4811.50, 9186, 6378, 4326, 4860
2024/1/15, 07:21:58.673, 4811.25, 4813.00, 4811.00, 4813.00, 2474, 1866, 1161, 1313
2024/1/15, 07:36:49.998, 4813.25, 4813.50, 4811.50, 4811.50, 1413, 1046, 755, 658
2024/1/15, 07:51:17.804, 4811.25, 4812.25, 4810.25, 4812.25, 2019, 1411, 932, 1087
2024/1/15, 08:07:33.829, 4812.50, 4813.50, 4811.50, 4813.50, 4438, 2805, 1934, 2504
2024/1/16, 05:30:00, 4802.00, 4803.00, 4801.00, 4803.00, 1588, 1197, 618, 970
2024/1/16, 05:30:00.980, 4803.25, 4803.25, 4801.25, 4801.25, 2286, 1680, 1441, 845
2024/1/16, 05:30:09.354, 4801.00, 4802.25, 4800.25, 4800.25, 3510, 2705, 2026, 1484
2024/1/16, 05:30:31.971, 4800.00, 4801.25, 4799.25, 4801.25, 1018, 714, 452, 566
2024/1/16, 05:30:39.028, 4801.50, 4802.50, 4800.50, 4802.50, 938, 717, 460, 478
