Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/14, 14:00:00, 2053.4, 2053.4, 2052.8, 2052.8, 50, 37, 34, 16
2024/1/14, 14:00:01.471, 2052.7, 2052.9, 2052.3, 2052.3, 39, 32, 23, 16
2024/1/14, 14:00:04.018, 2052.2, 2052.6, 2052.0, 2052.0, 49, 43, 36, 13
2024/1/14, 14:00:20.368, 2051.9, 2052.1, 2051.5, 2051.5, 50, 20, 12, 38
2024/1/14, 14:00:29.441, 2051.4, 2051.9, 2051.3, 2051.9, 45, 28, 8, 37
2024/1/14, 14:00:37.665, 2052.0, 2052.0, 2051.4, 2051.4, 50, 47, 35, 15
2024/1/14, 14:01:01.303, 2051.3, 2051.8, 2051.2, 2051.2, 151, 111, 80, 71
2024/1/14, 14:01:40.324, 2051.1, 2051.7, 2051.1, 2051.7, 63, 57, 18, 45
2024/1/14, 14:02:03.332, 2051.8, 2052.1, 2051.5, 2052.1, 127, 120, 47, 80
2024/1/14, 14:03:05.961, 2052.2, 2052.7, 2052.1, 2052.7, 61, 56, 20, 41
2024/1/14, 14:03:46.989, 2052.8, 2052.8, 2052.2, 2052.2, 52, 37, 34, 18
2024/1/14, 14:03:57.693, 2052.1, 2052.2, 2051.6, 2052.2, 70, 64, 41, 29
2024/1/14, 14:05:08.294, 2052.3, 2052.5, 2051.9, 2051.9, 71, 68, 52, 19
2024/1/14, 14:06:28.905, 2051.8, 2052.2, 2051.6, 2052.2, 77, 71, 28, 49
2024/1/14, 14:08:23.353, 2052.3, 2052.3, 2051.7, 2051.7, 66, 65, 41, 25
2024/1/14, 14:11:47.917, 2051.6, 2051.8, 2051.2, 2051.8, 177, 162, 81, 96
2024/1/14, 14:19:48.055, 2051.9, 2051.9, 2051.3, 2051.3, 61, 54, 26, 35
2024/1/14, 14:27:54.580, 2051.2, 2051.2, 2050.6, 2050.6, 123, 99, 63, 60
2024/1/14, 14:31:15.823, 2050.5, 2050.9, 2050.3, 2050.9, 107, 89, 42, 65
2024/1/14, 14:33:05.885, 2051.0, 2051.4, 2050.8, 2051.4, 157, 108, 52, 105
2024/1/14, 14:35:56.279, 2051.5, 2051.7, 2051.1, 2051.7, 95, 91, 43, 52
2024/1/14, 14:39:51.917, 2051.8, 2052.0, 2051.4, 2052.0, 137, 125, 66, 71
2024/1/14, 14:43:34.256, 2052.1, 2052.5, 2051.9, 2051.9, 237, 197, 114, 123
2024/1/14, 14:45:03.215, 2051.8, 2051.8, 2051.2, 2051.2, 343, 293, 188, 155
2024/1/14, 14:58:51.953, 2051.1, 2051.5, 2050.9, 2050.9, 100, 76, 52, 48
